order,Date,Price,Open,High,Low,Vol.,Change %
793,"Jan 02, 2017","1,151.05","1,151.00","1,153.25","1,150.00",-,-5.04%
792,"Jan 03, 2017","1,222.40","1,209.00","1,209.00","1,209.00",0.00K,6.20%
791,"Jan 04, 2017","1,224.80","1,224.80","1,224.80","1,224.80",0.25K,0.20%
790,"Jan 05, 2017","1,239.80","1,239.80","1,239.80","1,239.80",0.26K,1.22%
789,"Jan 06, 2017","1,233.40","1,234.00","1,234.00","1,234.00",0.21K,-0.52%
788,"Jan 09, 2017","1,245.30","1,245.30","1,245.30","1,245.30",0.06K,0.96%
787,"Jan 10, 2017","1,246.20","1,241.60","1,241.60","1,241.60",0.01K,0.07%
786,"Jan 11, 2017","1,257.70","1,257.70","1,257.70","1,257.70",0.02K,0.92%
785,"Jan 12, 2017","1,261.00","1,261.00","1,261.00","1,261.00",0.11K,0.26%
784,"Jan 13, 2017","1,259.00","1,259.00","1,259.00","1,259.00",1.51K,-0.16%
783,"Jan 15, 2017","1,203.35","1,197.30","1,205.05","1,197.30",-,-4.42%
782,"Jan 16, 2017","1,202.85","1,203.25","1,208.45","1,200.00",-,-0.04%
781,"Jan 17, 2017","1,275.10","1,275.10","1,275.10","1,275.10",0.00K,6.01%
780,"Jan 18, 2017","1,273.40","1,274.40","1,274.40","1,274.30",0.01K,-0.13%
779,"Jan 19, 2017","1,263.20","1,262.80","1,262.80","1,262.40",0.00K,-0.80%
778,"Jan 20, 2017","1,266.90","1,266.90","1,266.90","1,266.90",0.04K,0.29%
777,"Jan 23, 2017","1,276.60","1,276.60","1,276.60","1,276.60",0.02K,0.77%
776,"Jan 24, 2017","1,271.80","1,271.80","1,271.80","1,271.80",0.02K,-0.38%
775,"Jan 25, 2017","1,258.80","1,258.80","1,258.80","1,258.80",0.40K,-1.02%
774,"Jan 26, 2017","1,250.60","1,250.60","1,250.60","1,250.60",0.02K,-0.65%
773,"Jan 27, 2017","1,249.40","1,246.00","1,246.00","1,246.00",0.00K,-0.10%
772,"Jan 30, 2017","1,254.10","1,259.00","1,259.00","1,259.00",0.00K,0.38%
771,"Jan 31, 2017","1,269.50","1,270.00","1,274.00","1,270.00",0.00K,1.23%
770,"Feb 01, 2017","1,267.20","1,267.00","1,267.00","1,267.00",0.00K,-0.18%
769,"Feb 02, 2017","1,278.30","1,278.30","1,278.30","1,278.30",0.00K,0.88%
768,"Feb 03, 2017","1,279.90","1,279.90","1,279.90","1,279.90",0.87K,0.13%
767,"Feb 06, 2017","1,291.00","1,294.00","1,294.00","1,289.00",0.00K,0.87%
766,"Feb 07, 2017","1,294.10","1,294.10","1,294.10","1,294.10",0.01K,0.24%
765,"Feb 08, 2017","1,296.00","1,298.50","1,298.50","1,298.50",0.00K,0.15%
764,"Feb 09, 2017","1,293.10","1,293.10","1,293.10","1,293.10",0.01K,-0.22%
763,"Feb 10, 2017","1,292.20","1,292.20","1,292.20","1,292.20",0.39K,-0.07%
762,"Feb 13, 2017","1,282.60","1,282.60","1,282.60","1,282.60",0.40K,-0.74%
761,"Feb 14, 2017","1,282.60","1,282.60","1,282.60","1,282.60",0.03K,0.00%
760,"Feb 15, 2017","1,291.90","1,291.90","1,291.90","1,291.90",0.04K,0.73%
759,"Feb 16, 2017","1,300.40","1,300.40","1,300.40","1,300.40",0.09K,0.66%
758,"Feb 17, 2017","1,297.10","1,297.10","1,297.10","1,297.10",0.00K,-0.25%
757,"Feb 19, 2017","1,237.30","1,236.00","1,239.25","1,236.00",-,-4.61%
756,"Feb 20, 2017","1,238.20","1,237.25","1,240.15","1,233.50",-,0.07%
755,"Feb 21, 2017","1,296.90","1,296.90","1,296.90","1,296.90",0.12K,4.74%
754,"Feb 22, 2017","1,291.00","1,291.00","1,291.00","1,291.00",0.04K,-0.45%
753,"Feb 23, 2017","1,309.40","1,309.40","1,309.40","1,309.40",0.07K,1.43%
752,"Feb 24, 2017","1,316.10","1,314.50","1,314.50","1,314.50",0.01K,0.51%
751,"Feb 27, 2017","1,316.80","1,316.80","1,316.80","1,316.80",0.00K,0.05%
750,"Feb 28, 2017","1,312.00","1,312.00","1,312.00","1,312.00",0.72K,-0.36%
749,"Mar 01, 2017","1,308.80","1,308.80","1,308.80","1,308.80",0.03K,-0.24%
748,"Mar 02, 2017","1,291.60","1,291.60","1,291.60","1,291.60",0.08K,-1.31%
747,"Mar 03, 2017","1,286.50","1,286.50","1,286.50","1,286.50",0.12K,-0.39%
746,"Mar 06, 2017","1,285.00","1,285.00","1,285.00","1,285.00",0.03K,-0.12%
745,"Mar 07, 2017","1,275.40","1,285.40","1,285.40","1,276.20",0.16K,-0.75%
744,"Mar 08, 2017","1,269.60","1,269.50","1,269.50","1,269.50",0.00K,-0.45%
743,"Mar 09, 2017","1,263.40","1,263.40","1,263.40","1,263.40",0.04K,-0.49%
742,"Mar 10, 2017","1,261.70","1,261.70","1,261.70","1,261.70",0.00K,-0.13%
741,"Mar 13, 2017","1,264.30","1,266.80","1,266.80","1,266.80",0.03K,0.21%
740,"Mar 14, 2017","1,264.00","1,264.00","1,264.00","1,264.00",0.02K,-0.02%
739,"Mar 15, 2017","1,262.00","1,262.00","1,262.00","1,262.00",0.00K,-0.16%
738,"Mar 16, 2017","1,288.40","1,288.40","1,288.40","1,288.40",0.05K,2.09%
737,"Mar 17, 2017","1,291.30","1,291.30","1,291.30","1,291.30",0.03K,0.23%
736,"Mar 20, 2017","1,294.90","1,295.70","1,295.70","1,295.70",0.00K,0.28%
735,"Mar 21, 2017","1,306.70","1,300.00","1,300.00","1,300.00",0.00K,0.91%
734,"Mar 22, 2017","1,309.20","1,309.20","1,309.20","1,309.20",0.00K,0.19%
733,"Mar 23, 2017","1,306.20","1,306.20","1,306.20","1,306.20",0.09K,-0.23%
732,"Mar 24, 2017","1,308.10","1,308.10","1,308.10","1,308.10",0.02K,0.15%
731,"Mar 27, 2017","1,315.10","1,315.00","1,315.00","1,315.00",0.00K,0.54%
730,"Mar 28, 2017","1,315.20","1,315.20","1,315.20","1,315.20",0.03K,0.01%
729,"Mar 29, 2017","1,313.20","1,313.90","1,313.90","1,313.90",0.00K,-0.15%
728,"Mar 30, 2017","1,304.40","1,314.00","1,314.50","1,314.00",0.00K,-0.67%
727,"Mar 31, 2017","1,307.50","1,307.50","1,307.50","1,307.50",8.22K,0.24%
726,"Apr 03, 2017","1,310.40","1,310.40","1,310.40","1,310.40",1.16K,0.22%
725,"Apr 04, 2017","1,314.50","1,314.50","1,314.50","1,314.50",0.72K,0.31%
724,"Apr 05, 2017","1,304.60","1,304.60","1,304.60","1,304.60",0.91K,-0.75%
723,"Apr 06, 2017","1,309.50","1,309.50","1,309.50","1,309.50",0.00K,0.38%
722,"Apr 07, 2017","1,313.90","1,313.90","1,313.90","1,313.90",0.02K,0.34%
721,"Apr 10, 2017","1,310.40","1,313.20","1,313.20","1,313.20",0.01K,-0.27%
720,"Apr 11, 2017","1,330.50","1,332.00","1,332.00","1,332.00",0.00K,1.53%
719,"Apr 12, 2017","1,334.40","1,334.40","1,334.40","1,334.40",0.49K,0.29%
718,"Apr 13, 2017","1,343.80","1,343.80","1,343.80","1,343.80",0.92K,0.70%
717,"Apr 14, 2017","1,289.65","1,289.65","1,289.65","1,289.65",-,-4.03%
