order,Date,Price,Open,High,Low,Change %
782,"Jan 02, 2017",0.6893,0.6903,0.691,0.689,-0.17%
781,"Jan 03, 2017",0.6895,0.6893,0.6917,0.6875,0.03%
780,"Jan 04, 2017",0.6945,0.6896,0.6953,0.6894,0.73%
779,"Jan 05, 2017",0.7001,0.6946,0.7005,0.6939,0.81%
778,"Jan 06, 2017",0.6946,0.7,0.7008,0.6945,-0.79%
777,"Jan 09, 2017",0.6963,0.6952,0.6976,0.6926,0.24%
776,"Jan 10, 2017",0.6963,0.6963,0.6986,0.6952,0.00%
775,"Jan 11, 2017",0.7008,0.6963,0.7023,0.6939,0.65%
774,"Jan 12, 2017",0.7008,0.7008,0.7035,0.6996,0.00%
773,"Jan 13, 2017",0.7008,0.7008,0.7016,0.6972,0.00%
772,"Jan 16, 2017",0.699,0.7008,0.701,0.6987,-0.26%
771,"Jan 17, 2017",0.7065,0.699,0.7067,0.6989,1.07%
770,"Jan 18, 2017",0.6995,0.7064,0.7066,0.699,-0.99%
769,"Jan 19, 2017",0.7013,0.6994,0.7023,0.6987,0.26%
768,"Jan 20, 2017",0.7016,0.7016,0.7027,0.6987,0.04%
767,"Jan 23, 2017",0.7054,0.7018,0.7056,0.701,0.54%
766,"Jan 24, 2017",0.7036,0.7053,0.7069,0.7032,-0.26%
765,"Jan 25, 2017",0.7077,0.7036,0.7081,0.7033,0.58%
764,"Jan 26, 2017",0.7009,0.7077,0.7087,0.7,-0.96%
763,"Jan 27, 2017",0.6985,0.701,0.7023,0.6979,-0.34%
762,"Jan 30, 2017",0.7037,0.6985,0.7046,0.6984,0.74%
761,"Jan 31, 2017",0.7093,0.7036,0.7107,0.7035,0.80%
760,"Feb 01, 2017",0.7078,0.7101,0.7101,0.7058,-0.21%
759,"Feb 02, 2017",0.7087,0.7078,0.7103,0.7073,0.13%
758,"Feb 03, 2017",0.7105,0.7086,0.7117,0.7064,0.25%
757,"Feb 06, 2017",0.71,0.7104,0.7116,0.7077,-0.07%
756,"Feb 07, 2017",0.7052,0.7099,0.7099,0.7041,-0.68%
755,"Feb 08, 2017",0.7059,0.7051,0.7074,0.7042,0.10%
754,"Feb 09, 2017",0.7039,0.7059,0.7075,0.7038,-0.28%
753,"Feb 10, 2017",0.7032,0.7039,0.7054,0.7027,-0.10%
752,"Feb 13, 2017",0.7021,0.7039,0.7043,0.7013,-0.16%
751,"Feb 14, 2017",0.7037,0.7025,0.7067,0.702,0.23%
750,"Feb 15, 2017",0.7047,0.7037,0.7051,0.7008,0.14%
749,"Feb 16, 2017",0.706,0.7046,0.7061,0.7039,0.18%
748,"Feb 17, 2017",0.7048,0.706,0.7068,0.704,-0.17%
747,"Feb 20, 2017",0.7053,0.7048,0.7058,0.7045,0.07%
746,"Feb 21, 2017",0.7039,0.7047,0.7053,0.7025,-0.20%
745,"Feb 22, 2017",0.7079,0.7042,0.7089,0.7034,0.57%
744,"Feb 23, 2017",0.711,0.708,0.7118,0.7061,0.44%
743,"Feb 24, 2017",0.7117,0.7111,0.7134,0.7097,0.10%
742,"Feb 27, 2017",0.7121,0.7117,0.7144,0.7106,0.06%
741,"Feb 28, 2017",0.7126,0.7123,0.7157,0.7109,0.07%
740,"Mar 01, 2017",0.7097,0.7127,0.7129,0.7084,-0.41%
739,"Mar 02, 2017",0.7078,0.7097,0.7101,0.7069,-0.27%
738,"Mar 03, 2017",0.7093,0.7077,0.7096,0.7056,0.21%
737,"Mar 06, 2017",0.7081,0.7091,0.7101,0.7076,-0.17%
736,"Mar 07, 2017",0.7087,0.7084,0.7098,0.7075,0.08%
735,"Mar 08, 2017",0.7051,0.7086,0.7097,0.7048,-0.51%
