order,Date,Price,Open,High,Low,Change %
782,"Jan 02, 2017",117.53,116.92,117.69,116.72,0.55%
781,"Jan 03, 2017",117.75,117.55,118.61,117.2,0.19%
780,"Jan 04, 2017",117.27,117.77,118.19,117.05,-0.41%
779,"Jan 05, 2017",115.36,117.25,117.44,115.22,-1.63%
778,"Jan 06, 2017",116.92,115.36,117.19,115.06,1.35%
777,"Jan 09, 2017",116.03,116.91,117.53,115.97,-0.76%
776,"Jan 10, 2017",115.77,116.02,116.35,115.19,-0.22%
775,"Jan 11, 2017",115.41,115.78,116.86,114.24,-0.31%
774,"Jan 12, 2017",114.72,115.42,115.53,113.75,-0.60%
773,"Jan 13, 2017",114.53,114.72,115.46,114.2,-0.17%
772,"Jan 16, 2017",114.2,114.55,114.55,113.67,-0.29%
771,"Jan 17, 2017",112.64,114.19,114.3,112.59,-1.37%
770,"Jan 18, 2017",114.67,112.61,114.77,112.56,1.80%
769,"Jan 19, 2017",114.87,114.63,115.62,114.38,0.17%
768,"Jan 20, 2017",114.62,114.88,115.41,114.22,-0.22%
767,"Jan 23, 2017",112.7,114.37,114.45,112.68,-1.68%
766,"Jan 24, 2017",113.8,112.7,113.91,112.5,0.98%
765,"Jan 25, 2017",113.28,113.78,114,113.03,-0.46%
764,"Jan 26, 2017",114.53,113.28,114.86,113.03,1.10%
763,"Jan 27, 2017",115.08,114.53,115.39,114.39,0.48%
762,"Jan 30, 2017",113.78,115.09,115.14,113.44,-1.13%
761,"Jan 31, 2017",112.8,113.75,113.97,112.06,-0.86%
760,"Feb 01, 2017",113.25,112.81,113.97,112.62,0.40%
759,"Feb 02, 2017",112.81,113.25,113.36,112.03,-0.39%
758,"Feb 03, 2017",112.7,112.78,113.45,112.28,-0.10%
757,"Feb 06, 2017",111.75,112.42,112.81,111.64,-0.84%
756,"Feb 07, 2017",112.39,111.75,112.58,111.58,0.57%
755,"Feb 08, 2017",111.94,112.36,112.55,111.61,-0.40%
754,"Feb 09, 2017",113.25,111.97,113.38,111.73,1.17%
753,"Feb 10, 2017",113.22,113.25,113.88,112.86,-0.03%
752,"Feb 13, 2017",113.75,113.33,114.17,113.28,0.47%
751,"Feb 14, 2017",114.26,113.73,114.5,113.22,0.45%
750,"Feb 15, 2017",114.17,114.23,114.97,113.84,-0.08%
749,"Feb 16, 2017",113.23,114.17,114.36,113.09,-0.82%
748,"Feb 17, 2017",112.88,113.25,113.53,112.61,-0.31%
747,"Feb 20, 2017",113.1,112.86,113.26,112.78,0.19%
746,"Feb 21, 2017",113.69,113.08,113.78,113.08,0.52%
745,"Feb 22, 2017",113.3,113.72,113.75,112.91,-0.34%
744,"Feb 23, 2017",112.59,113.31,113.47,112.56,-0.63%
743,"Feb 24, 2017",112.19,112.61,112.96,111.92,-0.36%
742,"Feb 27, 2017",112.7,112.11,112.86,111.92,0.45%
741,"Feb 28, 2017",112.78,112.72,112.91,111.7,0.07%
