,order,Date,Price,Open,High,Low,Change %,volatility
0,782,"Jan 02, 2017",1.0459,1.0532,1.0534,1.0449,-0.54%,0.8341476393536237
1,781,"Jan 03, 2017",1.0406,1.0455,1.0492,1.0341,-0.51%,1.3800270105141845
2,780,"Jan 04, 2017",1.0488,1.0405,1.0501,1.0389,0.79%,0.8249351342382623
3,779,"Jan 05, 2017",1.0607,1.0493,1.0619,1.0482,1.13%,0.38052834779287703
4,778,"Jan 06, 2017",1.0533,1.0606,1.0624,1.0523,-0.70%,0.6019935067341236
5,777,"Jan 09, 2017",1.0574,1.0539,1.0584,1.051,0.39%,0.5908805654677894
6,776,"Jan 10, 2017",1.0554,1.0573,1.0628,1.0551,-0.19%,0.7705501944380314
7,775,"Jan 11, 2017",1.0582,1.0556,1.0624,1.0454,0.27%,0.6368873713229326
8,774,"Jan 12, 2017",1.0613,1.0582,1.0687,1.0573,0.29%,0.5316656745987953
9,773,"Jan 13, 2017",1.0644,1.0612,1.0674,1.0598,0.29%,0.5645025662207068
10,772,"Jan 16, 2017",1.0603,1.0618,1.0638,1.058,-0.39%,0.9394438981374253
11,771,"Jan 17, 2017",1.0714,1.0599,1.0719,1.0595,1.05%,0.41073822127505455
12,770,"Jan 18, 2017",1.0631,1.0713,1.0716,1.0624,-0.77%,0.7991057110581335
13,769,"Jan 19, 2017",1.0664,1.0629,1.0677,1.0588,0.31%,0.5583374179480707
14,768,"Jan 20, 2017",1.0703,1.0667,1.0713,1.0627,0.37%,0.2991066995765698
15,767,"Jan 23, 2017",1.0765,1.0687,1.0773,1.0686,0.58%,0.47985912403147973
16,766,"Jan 24, 2017",1.0731,1.0763,1.0775,1.0718,-0.32%,0.3684503596116722
17,765,"Jan 25, 2017",1.0748,1.0734,1.0773,1.0713,0.16%,0.3948473236680868
18,764,"Jan 26, 2017",1.0682,1.0746,1.0767,1.0657,-0.61%,0.6866823132350132
19,763,"Jan 27, 2017",1.0699,1.0685,1.0729,1.0661,0.16%,0.5913884721439131
20,762,"Jan 30, 2017",1.0695,1.0692,1.0742,1.0619,-0.04%,0.6241940821842241
21,761,"Jan 31, 2017",1.0798,1.0695,1.0814,1.0684,0.96%,0.5922680850275821
22,760,"Feb 01, 2017",1.0769,1.0798,1.081,1.0731,-0.27%,0.568762864576593
23,759,"Feb 02, 2017",1.0758,1.0767,1.0829,1.0753,-0.10%,0.6512663761168791
24,758,"Feb 03, 2017",1.0784,1.0759,1.08,1.0714,0.24%,1.0548998501349924
25,757,"Feb 06, 2017",1.075,1.0781,1.0801,1.0703,-0.32%,1.0019836618405316
26,756,"Feb 07, 2017",1.0681,1.075,1.0751,1.0654,-0.64%,0.5773443672315598
27,755,"Feb 08, 2017",1.0698,1.0682,1.0715,1.0639,0.16%,0.7034119324751713
28,754,"Feb 09, 2017",1.0656,1.0699,1.0711,1.065,-0.39%,0.4335864148343891
29,753,"Feb 10, 2017",1.0641,1.0658,1.067,1.0609,-0.14%,0.35682654732696795
30,752,"Feb 13, 2017",1.0598,1.0634,1.0658,1.0592,-0.40%,0.36473055400493265
31,751,"Feb 14, 2017",1.0577,1.0596,1.0634,1.0559,-0.20%,0.43420067463671175
32,750,"Feb 15, 2017",1.0601,1.0577,1.0611,1.0523,0.23%,0.39361384710895103
33,749,"Feb 16, 2017",1.0674,1.06,1.0682,1.0588,0.69%,0.8735755276672976
34,748,"Feb 17, 2017",1.0614,1.0675,1.0679,1.0605,-0.56%,0.41618013736918635
35,747,"Feb 20, 2017",1.0614,1.0618,1.0637,1.0606,0.00%,0.4365384377530377
36,746,"Feb 21, 2017",1.0537,1.0611,1.0618,1.0526,-0.73%,0.3063702902783007
37,745,"Feb 22, 2017",1.0556,1.0534,1.0574,1.0493,0.18%,0.24295131603658512
38,744,"Feb 23, 2017",1.0581,1.0557,1.0597,1.0538,0.24%,0.33352830620726
39,743,"Feb 24, 2017",1.0563,1.0583,1.062,1.0557,-0.17%,0.3221565753512002
40,742,"Feb 27, 2017",1.0588,1.0562,1.0633,1.0552,0.24%,0.35768761572949404
41,741,"Feb 28, 2017",1.0577,1.0587,1.0632,1.057,-0.10%,0.34442632090265207
42,740,"Mar 01, 2017",1.0548,1.0575,1.0590000000000002,1.0514,-0.27%,0.3512529299500745
43,739,"Mar 02, 2017",1.0507,1.0547,1.0552,1.0493,-0.39%,0.8489389366272287
44,738,"Mar 03, 2017",1.0623,1.0508,1.0626,1.0502,1.10%,0.4668284463220108
45,737,"Mar 06, 2017",1.0581,1.0617,1.0643,1.0575,-0.40%,0.45155707697360953
46,736,"Mar 07, 2017",1.0566,1.0583,1.0603,1.0557,-0.14%,0.797726408971861
47,735,"Mar 08, 2017",1.0541,1.0566,1.0576,1.0535,-0.24%,1.2598686447593186
48,734,"Mar 09, 2017",1.0577,1.0541,1.0617,1.0525,0.34%,1.1428860771047054
49,733,"Mar 10, 2017",1.0672,1.0577,1.0702,1.0572,0.90%,0.5776032846444363
50,732,"Mar 13, 2017",1.0654,1.0672,1.0715,1.065,-0.17%,0.8728539084265996
51,731,"Mar 14, 2017",1.0604,1.0655,1.0664,1.0599,-0.47%,1.4243343969170623
52,730,"Mar 15, 2017",1.0735,1.0604,1.0742,1.0603,1.24%,0.4000479528509448
53,729,"Mar 16, 2017",1.0766,1.0734,1.0772,1.0706,0.29%,0.26913764619652386
