,order,Date,Price,Open,High,Low,Vol.,Change %,volatility
0,793,"Jan 02, 2017","1,151.05","1,151.00","1,153.25","1,150.00",-,-5.04%,6.818975092808808
1,792,"Jan 03, 2017","1,222.40","1,209.00","1,209.00","1,209.00",0.00K,6.20%,1.6262969081814986
2,791,"Jan 04, 2017","1,224.80","1,224.80","1,224.80","1,224.80",0.25K,0.20%,1.8438310613479745
3,790,"Jan 05, 2017","1,239.80","1,239.80","1,239.80","1,239.80",0.26K,1.22%,1.0781246554655113
4,789,"Jan 06, 2017","1,233.40","1,234.00","1,234.00","1,234.00",0.21K,-0.52%,1.737837946276319
5,788,"Jan 09, 2017","1,245.30","1,245.30","1,245.30","1,245.30",0.06K,0.96%,1.955375090817253
6,787,"Jan 10, 2017","1,246.20","1,241.60","1,241.60","1,241.60",0.01K,0.07%,2.158650452766761
7,786,"Jan 11, 2017","1,257.70","1,257.70","1,257.70","1,257.70",0.02K,0.92%,2.427392737643804
8,785,"Jan 12, 2017","1,261.00","1,261.00","1,261.00","1,261.00",0.11K,0.26%,2.51961171705612
9,784,"Jan 13, 2017","1,259.00","1,259.00","1,259.00","1,259.00",1.51K,-0.16%,2.4749338592362653
10,783,"Jan 15, 2017","1,203.35","1,197.30","1,205.05","1,197.30",-,-4.42%,4.767760325327703
11,782,"Jan 16, 2017","1,202.85","1,203.25","1,208.45","1,200.00",-,-0.04%,5.270640461693642
12,781,"Jan 17, 2017","1,275.10","1,275.10","1,275.10","1,275.10",0.00K,6.01%,0.656534008224976
13,780,"Jan 18, 2017","1,273.40","1,274.40","1,274.40","1,274.30",0.01K,-0.13%,0.886523944263741
14,779,"Jan 19, 2017","1,263.20","1,262.80","1,262.80","1,262.40",0.00K,-0.80%,0.7544472476949063
15,778,"Jan 20, 2017","1,266.90","1,266.90","1,266.90","1,266.90",0.04K,0.29%,0.9046532526967975
16,777,"Jan 23, 2017","1,276.60","1,276.60","1,276.60","1,276.60",0.02K,0.77%,1.4237237903326039
17,776,"Jan 24, 2017","1,271.80","1,271.80","1,271.80","1,271.80",0.02K,-0.38%,1.1355327472105263
18,775,"Jan 25, 2017","1,258.80","1,258.80","1,258.80","1,258.80",0.40K,-1.02%,0.818437895623602
19,774,"Jan 26, 2017","1,250.60","1,250.60","1,250.60","1,250.60",0.02K,-0.65%,1.440653889368771
20,773,"Jan 27, 2017","1,249.40","1,246.00","1,246.00","1,246.00",0.00K,-0.10%,1.9696049978921002
21,772,"Jan 30, 2017","1,254.10","1,259.00","1,259.00","1,259.00",0.00K,0.38%,2.048886064063211
22,771,"Jan 31, 2017","1,269.50","1,270.00","1,274.00","1,270.00",0.00K,1.23%,1.3182787031495815
23,770,"Feb 01, 2017","1,267.20","1,267.00","1,267.00","1,267.00",0.00K,-0.18%,1.6539190594155018
24,769,"Feb 02, 2017","1,278.30","1,278.30","1,278.30","1,278.30",0.00K,0.88%,0.9978971274246194
25,768,"Feb 03, 2017","1,279.90","1,279.90","1,279.90","1,279.90",0.87K,0.13%,0.8941928454227888
26,767,"Feb 06, 2017","1,291.00","1,294.00","1,294.00","1,289.00",0.00K,0.87%,0.3945106608287195
27,766,"Feb 07, 2017","1,294.10","1,294.10","1,294.10","1,294.10",0.01K,0.24%,0.48658821044825423
28,765,"Feb 08, 2017","1,296.00","1,298.50","1,298.50","1,298.50",0.00K,0.15%,0.5963577065883642
29,764,"Feb 09, 2017","1,293.10","1,293.10","1,293.10","1,293.10",0.01K,-0.22%,0.4995052281170891
30,763,"Feb 10, 2017","1,292.20","1,292.20","1,292.20","1,292.20",0.39K,-0.07%,1.6776347386232306
31,762,"Feb 13, 2017","1,282.60","1,282.60","1,282.60","1,282.60",0.40K,-0.74%,2.006687277503577
32,761,"Feb 14, 2017","1,282.60","1,282.60","1,282.60","1,282.60",0.03K,0.00%,2.0504567326361776
33,760,"Feb 15, 2017","1,291.90","1,291.90","1,291.90","1,291.90",0.04K,0.73%,2.2642985078550177
34,759,"Feb 16, 2017","1,300.40","1,300.40","1,300.40","1,300.40",0.09K,0.66%,2.6066438904714406
35,758,"Feb 17, 2017","1,297.10","1,297.10","1,297.10","1,297.10",0.00K,-0.25%,2.539425086600708
36,757,"Feb 19, 2017","1,237.30","1,236.00","1,239.25","1,236.00",-,-4.61%,4.7486177347944
37,756,"Feb 20, 2017","1,238.20","1,237.25","1,240.15","1,233.50",-,0.07%,5.197895909664275
38,755,"Feb 21, 2017","1,296.90","1,296.90","1,296.90","1,296.90",0.12K,4.74%,1.0609783064791367
39,754,"Feb 22, 2017","1,291.00","1,291.00","1,291.00","1,291.00",0.04K,-0.45%,1.4319984313990617
40,753,"Feb 23, 2017","1,309.40","1,309.40","1,309.40","1,309.40",0.07K,1.43%,0.8887659201947629
41,752,"Feb 24, 2017","1,316.10","1,314.50","1,314.50","1,314.50",0.01K,0.51%,1.4400012383613874
42,751,"Feb 27, 2017","1,316.80","1,316.80","1,316.80","1,316.80",0.00K,0.05%,1.896451287733969
43,750,"Feb 28, 2017","1,312.00","1,312.00","1,312.00","1,312.00",0.72K,-0.36%,2.025401523284162
44,749,"Mar 01, 2017","1,308.80","1,308.80","1,308.80","1,308.80",0.03K,-0.24%,2.2504886722772937
45,748,"Mar 02, 2017","1,291.60","1,291.60","1,291.60","1,291.60",0.08K,-1.31%,1.4647022402724066
46,747,"Mar 03, 2017","1,286.50","1,286.50","1,286.50","1,286.50",0.12K,-0.39%,1.3310339104479132
47,746,"Mar 06, 2017","1,285.00","1,285.00","1,285.00","1,285.00",0.03K,-0.12%,1.3822065772141239
48,745,"Mar 07, 2017","1,275.40","1,285.40","1,285.40","1,276.20",0.16K,-0.75%,0.8371867365850648
49,744,"Mar 08, 2017","1,269.60","1,269.50","1,269.50","1,269.50",0.00K,-0.45%,0.7116921631889012
50,743,"Mar 09, 2017","1,263.40","1,263.40","1,263.40","1,263.40",0.04K,-0.49%,1.1231347460718684
51,742,"Mar 10, 2017","1,261.70","1,261.70","1,261.70","1,261.70",0.00K,-0.13%,1.557587457497422
52,741,"Mar 13, 2017","1,264.30","1,266.80","1,266.80","1,266.80",0.03K,0.21%,1.902354083839581
53,740,"Mar 14, 2017","1,264.00","1,264.00","1,264.00","1,264.00",0.02K,-0.02%,2.3480009623347042
54,739,"Mar 15, 2017","1,262.00","1,262.00","1,262.00","1,262.00",0.00K,-0.16%,2.81230640116385
55,738,"Mar 16, 2017","1,288.40","1,288.40","1,288.40","1,288.40",0.05K,2.09%,1.1448993907765093
56,737,"Mar 17, 2017","1,291.30","1,291.30","1,291.30","1,291.30",0.03K,0.23%,1.185788486727871
57,736,"Mar 20, 2017","1,294.90","1,295.70","1,295.70","1,295.70",0.00K,0.28%,1.1175079627832507
58,735,"Mar 21, 2017","1,306.70","1,300.00","1,300.00","1,300.00",0.00K,0.91%,0.40238151047187176
59,734,"Mar 22, 2017","1,309.20","1,309.20","1,309.20","1,309.20",0.00K,0.19%,0.3163327471003783
60,733,"Mar 23, 2017","1,306.20","1,306.20","1,306.20","1,306.20",0.09K,-0.23%,0.42699263329373804
61,732,"Mar 24, 2017","1,308.10","1,308.10","1,308.10","1,308.10",0.02K,0.15%,0.3476436664139494
62,731,"Mar 27, 2017","1,315.10","1,315.00","1,315.00","1,315.00",0.00K,0.54%,0.4047393772329454
63,730,"Mar 28, 2017","1,315.20","1,315.20","1,315.20","1,315.20",0.03K,0.01%,0.5107154478904554
64,729,"Mar 29, 2017","1,313.20","1,313.90","1,313.90","1,313.90",0.00K,-0.15%,0.4142100578912355
65,728,"Mar 30, 2017","1,304.40","1,314.00","1,314.50","1,314.00",0.00K,-0.67%,0.4707348385401379
66,727,"Mar 31, 2017","1,307.50","1,307.50","1,307.50","1,307.50",8.22K,0.24%,0.3155943302272118
67,726,"Apr 03, 2017","1,310.40","1,310.40","1,310.40","1,310.40",1.16K,0.22%,0.6236589981202992
68,725,"Apr 04, 2017","1,314.50","1,314.50","1,314.50","1,314.50",0.72K,0.31%,0.8092916648902985
69,724,"Apr 05, 2017","1,304.60","1,304.60","1,304.60","1,304.60",0.91K,-0.75%,1.6490024914565558
70,723,"Apr 06, 2017","1,309.50","1,309.50","1,309.50","1,309.50",0.00K,0.38%,1.4863019834959268
71,722,"Apr 07, 2017","1,313.90","1,313.90","1,313.90","1,313.90",0.02K,0.34%,1.6472827482247672
72,721,"Apr 10, 2017","1,310.40","1,313.20","1,313.20","1,313.20",0.01K,-0.27%,2.0943085497939893
73,720,"Apr 11, 2017","1,330.50","1,332.00","1,332.00","1,332.00",0.00K,1.53%,1.4165284822212711
74,719,"Apr 12, 2017","1,334.40","1,334.40","1,334.40","1,334.40",0.49K,0.29%,1.40535284224182
75,718,"Apr 13, 2017","1,343.80","1,343.80","1,343.80","1,343.80",0.92K,0.70%,1.5464489798231984
76,717,"Apr 14, 2017","1,289.65","1,289.65","1,289.65","1,289.65",-,-4.03%,3.7339872147840842
77,716,"Apr 17, 2017","1,346.90","1,346.90","1,346.90","1,346.90",0.07K,4.44%,0.8528158004308907
78,715,"Apr 18, 2017","1,348.00","1,348.00","1,348.00","1,348.00",0.00K,0.08%,1.200916587790982
79,714,"Apr 19, 2017","1,337.60","1,338.50","1,338.50","1,338.50",0.00K,-0.77%,0.815014813613142
80,713,"Apr 20, 2017","1,338.80","1,338.80","1,338.80","1,338.80",0.05K,0.09%,0.9620469561544247
81,712,"Apr 21, 2017","1,344.10","1,344.10","1,344.10","1,344.10",0.47K,0.40%,1.5620041171974957
82,711,"Apr 24, 2017","1,332.90","1,335.00","1,335.00","1,335.00",0.01K,-0.83%,1.0209579321829183
83,710,"Apr 25, 2017","1,323.10","1,323.10","1,323.10","1,323.10",0.36K,-0.74%,0.687042677443716
84,709,"Apr 26, 2017","1,320.10","1,320.10","1,320.10","1,320.10",0.10K,-0.23%,1.1603320680256128
85,708,"Apr 27, 2017","1,321.80","1,321.80","1,321.80","1,321.80",0.21K,0.13%,1.662096336154066
86,707,"Apr 28, 2017","1,324.20","1,324.20","1,324.20","1,324.20",0.09K,0.18%,2.1398157149686163
87,706,"May 01, 2017","1,311.70","1,311.70","1,311.70","1,311.70",0.03K,-0.94%,1.8208230729249653
88,705,"May 02, 2017","1,313.20","1,311.80","1,315.10","1,311.80",0.01K,0.11%,2.2065221765885226
89,704,"May 03, 2017","1,304.70","1,305.80","1,305.80","1,305.80",0.00K,-0.65%,1.811892905497981
