,order,Date,Price,Open,High,Low,Change %,volatility
0,782,"Jan 02, 2017",0.6893,0.6903,0.691,0.6890000000000001,-0.17%,0.9006824955616692
1,781,"Jan 03, 2017",0.6895,0.6893,0.6917,0.6875,0.03%,1.0735494195093234
2,780,"Jan 04, 2017",0.6945,0.6896,0.6953,0.6894,0.73%,0.5892479935917253
3,779,"Jan 05, 2017",0.7001,0.6946,0.7005,0.6939,0.81%,0.42026886238146366
4,778,"Jan 06, 2017",0.6946,0.7,0.7008,0.6945,-0.79%,0.6449002318297928
5,777,"Jan 09, 2017",0.6963,0.6952,0.6976,0.6926,0.24%,0.712065236116428
6,776,"Jan 10, 2017",0.6963,0.6963,0.6986,0.6952,0.00%,0.732945598081708
7,775,"Jan 11, 2017",0.7008,0.6963,0.7023,0.6939,0.65%,0.3310203525894417
8,774,"Jan 12, 2017",0.7008,0.7008,0.7035,0.6996,0.00%,0.33382046889271394
9,773,"Jan 13, 2017",0.7008,0.7008,0.7016,0.6972,0.00%,0.41591621872384155
10,772,"Jan 16, 2017",0.6990000000000001,0.7008,0.701,0.6987,-0.26%,0.6181042785302368
11,771,"Jan 17, 2017",0.7065,0.6990000000000001,0.7067,0.6989,1.07%,0.5639172602861086
12,770,"Jan 18, 2017",0.6995,0.7064,0.7066,0.6990000000000001,-0.99%,0.612440811435706
13,769,"Jan 19, 2017",0.7013,0.6994,0.7023,0.6987,0.26%,0.45460540329369326
14,768,"Jan 20, 2017",0.7016,0.7016,0.7027,0.6987,0.04%,0.4512385446088796
15,767,"Jan 23, 2017",0.7054,0.7018,0.7056,0.701,0.54%,0.5208449397623635
16,766,"Jan 24, 2017",0.7036,0.7053,0.7069,0.7032,-0.26%,0.537857637413694
17,765,"Jan 25, 2017",0.7077,0.7036,0.7081,0.7033,0.58%,0.6550853397866309
18,764,"Jan 26, 2017",0.7009,0.7077,0.7087,0.7,-0.96%,0.9100013521525478
19,763,"Jan 27, 2017",0.6985,0.701,0.7023,0.6979,-0.34%,1.3369438743365105
20,762,"Jan 30, 2017",0.7037,0.6985,0.7046,0.6984,0.74%,0.6822568642408885
21,761,"Jan 31, 2017",0.7093,0.7036,0.7107,0.7035,0.80%,0.30569262502002137
22,760,"Feb 01, 2017",0.7078,0.7101,0.7101,0.7058,-0.21%,0.33142369959400964
23,759,"Feb 02, 2017",0.7087,0.7078,0.7103,0.7073,0.13%,0.47195127013092997
24,758,"Feb 03, 2017",0.7105,0.7086,0.7117,0.7064,0.25%,0.7834777815024659
25,757,"Feb 06, 2017",0.71,0.7104,0.7116,0.7077,-0.07%,0.7992259695273826
26,756,"Feb 07, 2017",0.7052,0.7099,0.7099,0.7041,-0.68%,0.22921631647605165
27,755,"Feb 08, 2017",0.7059,0.7051,0.7074,0.7042,0.10%,0.302983139826867
28,754,"Feb 09, 2017",0.7039,0.7059,0.7075,0.7038,-0.28%,0.1666299862001989
29,753,"Feb 10, 2017",0.7032,0.7039,0.7054,0.7027,-0.10%,0.23130904156492774
30,752,"Feb 13, 2017",0.7021,0.7039,0.7043,0.7013,-0.16%,0.36232734191524185
31,751,"Feb 14, 2017",0.7037,0.7025,0.7067,0.7020000000000001,0.23%,0.2828893887914165
32,750,"Feb 15, 2017",0.7047,0.7037,0.7051,0.7008,0.14%,0.3891019376457541
33,749,"Feb 16, 2017",0.706,0.7046,0.7061,0.7039,0.18%,0.43964795737814844
34,748,"Feb 17, 2017",0.7048,0.706,0.7068,0.7040000000000001,-0.17%,0.6568182178832402
35,747,"Feb 20, 2017",0.7053,0.7048,0.7058,0.7045,0.07%,0.7223614478603583
36,746,"Feb 21, 2017",0.7039,0.7047,0.7053,0.7025,-0.20%,0.9359404009187956
37,745,"Feb 22, 2017",0.7079,0.7042,0.7089,0.7034,0.57%,0.43713308446725807
38,744,"Feb 23, 2017",0.711,0.708,0.7118,0.7061,0.44%,0.23220446394524505
39,743,"Feb 24, 2017",0.7117,0.7111,0.7134,0.7097,0.10%,0.3312293518929606
40,742,"Feb 27, 2017",0.7121,0.7117,0.7144,0.7106,0.06%,0.4107933508289012
41,741,"Feb 28, 2017",0.7126,0.7123,0.7157,0.7109,0.07%,0.614099255881033
42,740,"Mar 01, 2017",0.7097,0.7127,0.7129,0.7084,-0.41%,0.4197849376627331
43,739,"Mar 02, 2017",0.7078,0.7097,0.7101,0.7069,-0.27%,0.2709222619932664
44,738,"Mar 03, 2017",0.7093,0.7077,0.7096,0.7056,0.21%,0.39475539264064036
45,737,"Mar 06, 2017",0.7081,0.7091,0.7101,0.7076,-0.17%,0.29507543807423703
46,736,"Mar 07, 2017",0.7087,0.7084,0.7098,0.7075,0.08%,0.43904323534286366
47,735,"Mar 08, 2017",0.7051,0.7086,0.7097,0.7048,-0.51%,0.6799520498223705
48,734,"Mar 09, 2017",0.7039,0.7052,0.7058,0.7032,-0.17%,0.9472090809845822
49,733,"Mar 10, 2017",0.7081,0.7042,0.7088,0.7033,0.60%,0.6579493264083995
50,732,"Mar 13, 2017",0.7071,0.7083,0.7098,0.7066,-0.14%,0.8568962750410769
51,731,"Mar 14, 2017",0.7065,0.7069,0.7077,0.706,-0.08%,1.0407694694841738
52,730,"Mar 15, 2017",0.7136,0.7064,0.7138,0.706,1.00%,0.16973889102523562
53,729,"Mar 16, 2017",0.7136,0.7137,0.7142,0.7111,0.00%,0.18124856890038177
54,728,"Mar 17, 2017",0.7133,0.7137,0.7143,0.7123,-0.04%,0.3091076337134528
55,727,"Mar 20, 2017",0.7159,0.7134,0.7167,0.713,0.36%,0.14811054627751896
56,726,"Mar 21, 2017",0.7146,0.7157,0.7166,0.7138,-0.18%,0.21281948725008096
57,725,"Mar 22, 2017",0.7153,0.7146,0.7158,0.7127,0.10%,0.1601845076273705
58,724,"Mar 23, 2017",0.7146,0.7154,0.7156,0.7136,-0.10%,0.22062899782209938
