,order,Date,Price,Open,High,Low,Change %,volatility
0,782,"Jan 02, 2017",117.53,116.92,117.69,116.72,0.55%,1.0442808133392327
1,781,"Jan 03, 2017",117.75,117.55,118.61,117.2,0.19%,1.3986353961320421
2,780,"Jan 04, 2017",117.27,117.77,118.19,117.05,-0.41%,1.3490710538178758
3,779,"Jan 05, 2017",115.36,117.25,117.44,115.22,-1.63%,0.6675802568048714
4,778,"Jan 06, 2017",116.92,115.36,117.19,115.06,1.35%,1.528108869171784
5,777,"Jan 09, 2017",116.03,116.91,117.53,115.97,-0.76%,1.4295478010975529
6,776,"Jan 10, 2017",115.77,116.02,116.35,115.19,-0.22%,1.3157337499183284
7,775,"Jan 11, 2017",115.41,115.78,116.86,114.24,-0.31%,1.0973207654192476
8,774,"Jan 12, 2017",114.72,115.42,115.53,113.75,-0.60%,0.711823978374298
9,773,"Jan 13, 2017",114.53,114.72,115.46,114.2,-0.17%,0.8838695842091837
10,772,"Jan 16, 2017",114.2,114.55,114.55,113.67,-0.29%,0.7894659011203835
11,771,"Jan 17, 2017",112.64,114.19,114.3,112.59,-1.37%,1.289711840831623
12,770,"Jan 18, 2017",114.67,112.61,114.77,112.56,1.80%,0.8488352887524518
13,769,"Jan 19, 2017",114.87,114.63,115.62,114.38,0.17%,0.9651550415040435
14,768,"Jan 20, 2017",114.62,114.88,115.41,114.22,-0.22%,0.8774007541696055
15,767,"Jan 23, 2017",112.7,114.37,114.45,112.68,-1.68%,1.1489178176643275
16,766,"Jan 24, 2017",113.8,112.7,113.91,112.5,0.98%,0.6427046386821756
17,765,"Jan 25, 2017",113.28,113.78,114.0,113.03,-0.46%,0.7828247849078491
18,764,"Jan 26, 2017",114.53,113.28,114.86,113.03,1.10%,1.133806548832963
19,763,"Jan 27, 2017",115.08,114.53,115.39,114.39,0.48%,1.8620773125837917
20,762,"Jan 30, 2017",113.78,115.09,115.14,113.44,-1.13%,1.0185584016820215
21,761,"Jan 31, 2017",112.8,113.75,113.97,112.06,-0.86%,0.49956508134811145
22,760,"Feb 01, 2017",113.25,112.81,113.97,112.62,0.40%,0.7611839011141269
23,759,"Feb 02, 2017",112.81,113.25,113.36,112.03,-0.39%,0.5223589753031046
24,758,"Feb 03, 2017",112.7,112.78,113.45,112.28,-0.10%,0.6047496440151329
25,757,"Feb 06, 2017",111.75,112.42,112.81,111.64,-0.84%,1.3167574235871216
26,756,"Feb 07, 2017",112.39,111.75,112.58,111.58,0.57%,1.0711951496526602
27,755,"Feb 08, 2017",111.94,112.36,112.55,111.61,-0.40%,1.4581597143575584
28,754,"Feb 09, 2017",113.25,111.97,113.38,111.73,1.17%,0.501137788032239
29,753,"Feb 10, 2017",113.22,113.25,113.88,112.86,-0.03%,0.5166419356710376
30,752,"Feb 13, 2017",113.75,113.33,114.17,113.28,0.47%,0.45679252365173545
31,751,"Feb 14, 2017",114.26,113.73,114.5,113.22,0.45%,0.7803848934540077
32,750,"Feb 15, 2017",114.17,114.23,114.97,113.84,-0.08%,0.886848165157227
33,749,"Feb 16, 2017",113.23,114.17,114.36,113.09,-0.82%,0.45366437517255964
34,748,"Feb 17, 2017",112.88,113.25,113.53,112.61,-0.31%,0.4064517982620284
35,747,"Feb 20, 2017",113.1,112.86,113.26,112.78,0.19%,0.4406570291068453
36,746,"Feb 21, 2017",113.69,113.08,113.78,113.08,0.52%,0.7741131860192034
37,745,"Feb 22, 2017",113.3,113.72,113.75,112.91,-0.34%,0.6488938805514005
38,744,"Feb 23, 2017",112.59,113.31,113.47,112.56,-0.63%,0.8795784789361851
39,743,"Feb 24, 2017",112.19,112.61,112.96,111.92,-0.36%,1.2671573402649292
40,742,"Feb 27, 2017",112.7,112.11,112.86,111.92,0.45%,0.9942131448387669
41,741,"Feb 28, 2017",112.78,112.72,112.91,111.7,0.07%,1.0721155524165145
42,740,"Mar 01, 2017",113.73,112.78,114.06,112.73,0.84%,0.5236885105405117
43,739,"Mar 02, 2017",114.41,113.75,114.61,113.69,0.60%,0.3315961822740135
44,738,"Mar 03, 2017",114.02,114.42,114.77,113.83,-0.34%,0.49682543547688346
45,737,"Mar 06, 2017",113.89,114.02,114.14,113.55,-0.11%,0.645353157725982
46,736,"Mar 07, 2017",113.98,113.89,114.17,113.72,0.08%,0.6127356744489351
47,735,"Mar 08, 2017",114.35,113.99,114.77,113.61,0.32%,0.5697740666116978
48,734,"Mar 09, 2017",114.94,114.38,115.03,114.33,0.52%,1.0447839579101987
49,733,"Mar 10, 2017",114.75,114.94,115.51,114.63,-0.17%,1.18230733886134
50,732,"Mar 13, 2017",114.88,114.81,114.93,114.47,0.11%,1.6373036370460639
51,731,"Mar 14, 2017",114.75,114.88,115.2,114.5,-0.11%,1.9468746174562657
52,730,"Mar 15, 2017",113.38,114.75,114.91,113.18,-1.19%,1.2803181385898534
53,729,"Mar 16, 2017",113.31,113.36,113.56,112.91,-0.06%,1.3977600703105708
54,728,"Mar 17, 2017",112.72,113.31,113.5,112.55,-0.52%,1.1985072147964684
55,727,"Mar 20, 2017",112.56,112.69,112.89,112.44,-0.14%,1.1799734623218168
56,726,"Mar 21, 2017",111.72,112.55,112.88,111.55,-0.75%,0.5813196536219287
57,725,"Mar 22, 2017",111.16,111.7,111.81,110.72,-0.50%,0.32622282051941054
58,724,"Mar 23, 2017",110.94,111.17,111.58,110.61,-0.20%,0.4119142317638467
59,723,"Mar 24, 2017",111.34,110.94,111.5,110.61,0.36%,0.35930803650231913
60,722,"Mar 27, 2017",110.66,111.23,111.27,110.1,-0.61%,0.5490007680796307
61,721,"Mar 28, 2017",111.16,110.69,111.22,110.19,0.45%,0.3558354066484238
62,720,"Mar 29, 2017",111.05,111.14,111.33,110.7,-0.10%,0.36786715877663795
